Timestamp,Source Name,Results Path, Results Count, Collated Results Path, Collated Results Count
13:38:29 30-04-25,BehindMLM,sources/behindmlm/behindmlm_2024-11.txt,80,sources/behindmlm/behindmlm.txt,153
13:38:29 30-04-25,BehindMLM,sources/behindmlm/behindmlm_2024-12.txt,95,sources/behindmlm/behindmlm.txt,247
13:38:29 30-04-25,BehindMLM,sources/behindmlm/behindmlm_2025-01.txt,102,sources/behindmlm/behindmlm.txt,349
13:38:29 30-04-25,BehindMLM,sources/behindmlm/behindmlm_2025-02.txt,92,sources/behindmlm/behindmlm.txt,441
13:38:29 30-04-25,BehindMLM,sources/behindmlm/behindmlm_2025-03.txt,90,sources/behindmlm/behindmlm.txt,530
13:38:29 30-04-25,BehindMLM,sources/behindmlm/behindmlm_2025-04.txt,101,sources/behindmlm/behindmlm.txt,631
13:40:27 30-04-25,BehindMLM,sources/behindmlm/behindmlm_2024-05.txt,79,sources/behindmlm/behindmlm.txt,76
13:40:27 30-04-25,BehindMLM,sources/behindmlm/behindmlm_2024-06.txt,89,sources/behindmlm/behindmlm.txt,163
13:40:27 30-04-25,BehindMLM,sources/behindmlm/behindmlm_2024-07.txt,51,sources/behindmlm/behindmlm.txt,212
13:40:27 30-04-25,BehindMLM,sources/behindmlm/behindmlm_2024-08.txt,77,sources/behindmlm/behindmlm.txt,283
13:40:27 30-04-25,BehindMLM,sources/behindmlm/behindmlm_2024-09.txt,52,sources/behindmlm/behindmlm.txt,335
13:40:27 30-04-25,BehindMLM,sources/behindmlm/behindmlm_2024-10.txt,74,sources/behindmlm/behindmlm.txt,408
13:40:27 30-04-25,BehindMLM,sources/behindmlm/behindmlm_2024-11.txt,80,sources/behindmlm/behindmlm.txt,487
13:40:27 30-04-25,BehindMLM,sources/behindmlm/behindmlm_2024-12.txt,95,sources/behindmlm/behindmlm.txt,581
13:40:27 30-04-25,BehindMLM,sources/behindmlm/behindmlm_2025-01.txt,102,sources/behindmlm/behindmlm.txt,683
13:40:27 30-04-25,BehindMLM,sources/behindmlm/behindmlm_2025-02.txt,92,sources/behindmlm/behindmlm.txt,775
13:40:27 30-04-25,BehindMLM,sources/behindmlm/behindmlm_2025-03.txt,90,sources/behindmlm/behindmlm.txt,864
13:40:27 30-04-25,BehindMLM,sources/behindmlm/behindmlm_2025-04.txt,101,sources/behindmlm/behindmlm.txt,965
12:04:31 01-05-25,165 Anti Fraud,sources/165_anti_fraud/165_anti_fraud_2025-05.txt,3507,sources/165_anti_fraud/165_anti_fraud.txt,3507
12:04:32 01-05-25,Artists Against 419,sources/artists_against_419/artists_against_419_2024-06.txt,500,sources/artists_against_419/artists_against_419.txt,500
12:04:32 01-05-25,Artists Against 419,sources/artists_against_419/artists_against_419_2024-07.txt,500,sources/artists_against_419/artists_against_419.txt,1000
12:04:32 01-05-25,Artists Against 419,sources/artists_against_419/artists_against_419_2024-08.txt,500,sources/artists_against_419/artists_against_419.txt,1500
12:04:32 01-05-25,Artists Against 419,sources/artists_against_419/artists_against_419_2024-09.txt,500,sources/artists_against_419/artists_against_419.txt,2000
12:04:32 01-05-25,Artists Against 419,sources/artists_against_419/artists_against_419_2024-10.txt,500,sources/artists_against_419/artists_against_419.txt,2500
12:04:32 01-05-25,Artists Against 419,sources/artists_against_419/artists_against_419_2024-11.txt,500,sources/artists_against_419/artists_against_419.txt,3000
12:04:32 01-05-25,Artists Against 419,sources/artists_against_419/artists_against_419_2024-12.txt,500,sources/artists_against_419/artists_against_419.txt,3500
12:04:32 01-05-25,Artists Against 419,sources/artists_against_419/artists_against_419_2025-01.txt,500,sources/artists_against_419/artists_against_419.txt,4000
12:04:32 01-05-25,Artists Against 419,sources/artists_against_419/artists_against_419_2025-02.txt,500,sources/artists_against_419/artists_against_419.txt,4000
12:04:32 01-05-25,Artists Against 419,sources/artists_against_419/artists_against_419_2025-03.txt,500,sources/artists_against_419/artists_against_419.txt,4498
12:04:32 01-05-25,Artists Against 419,sources/artists_against_419/artists_against_419_2025-04.txt,500,sources/artists_against_419/artists_against_419.txt,4998
12:04:35 01-05-25,BehindMLM,sources/behindmlm/behindmlm_2024-06.txt,89,sources/behindmlm/behindmlm.txt,87
12:04:35 01-05-25,BehindMLM,sources/behindmlm/behindmlm_2024-07.txt,51,sources/behindmlm/behindmlm.txt,137
12:04:35 01-05-25,BehindMLM,sources/behindmlm/behindmlm_2024-08.txt,77,sources/behindmlm/behindmlm.txt,208
12:04:35 01-05-25,BehindMLM,sources/behindmlm/behindmlm_2024-09.txt,52,sources/behindmlm/behindmlm.txt,260
